id,year,table_type,item,value_raw,source_file,extracted_at
1,2014,balance_sheet,자 산,"["""", """", """", """", """"]",/Users/june_kim/samsung_audit_nlp/data/raw/감사보고서_2014.htm,2026-03-31T07:17:31.789725+00:00
2,2014,balance_sheet,Ⅰ. 유 동 자 산,"["""", """", ""62,054,773"", """", ""60,603,694""]",/Users/june_kim/samsung_audit_nlp/data/raw/감사보고서_2014.htm,2026-03-31T07:17:31.789725+00:00
3,2014,balance_sheet,1. 현금및현금성자산,"[""4, 6, 7"", ""1,643,318"", """", ""2,030,307"", """"]",/Users/june_kim/samsung_audit_nlp/data/raw/감사보고서_2014.htm,2026-03-31T07:17:31.789725+00:00
4,2014,balance_sheet,2. 단기금융상품,"[""5, 6, 7"", ""26,454,093"", """", ""27,463,345"", """"]",/Users/june_kim/samsung_audit_nlp/data/raw/감사보고서_2014.htm,2026-03-31T07:17:31.789725+00:00
5,2014,balance_sheet,3. 단기매도가능금융자산,"[""6, 9"", ""2,137,533"", """", ""1,488,527"", """"]",/Users/june_kim/samsung_audit_nlp/data/raw/감사보고서_2014.htm,2026-03-31T07:17:31.789725+00:00
6,2014,balance_sheet,4. 매출채권,"[""6, 7, 10"", ""18,940,786"", """", ""17,748,978"", """"]",/Users/june_kim/samsung_audit_nlp/data/raw/감사보고서_2014.htm,2026-03-31T07:17:31.789725+00:00
7,2014,balance_sheet,5. 미수금,"[""10"", ""3,218,973"", """", ""2,734,572"", """"]",/Users/june_kim/samsung_audit_nlp/data/raw/감사보고서_2014.htm,2026-03-31T07:17:31.789725+00:00
8,2014,balance_sheet,6. 선급금,"["""", ""977,114"", """", ""1,007,685"", """"]",/Users/june_kim/samsung_audit_nlp/data/raw/감사보고서_2014.htm,2026-03-31T07:17:31.789725+00:00
9,2014,balance_sheet,7. 선급비용,"["""", ""1,846,360"", """", ""1,373,140"", """"]",/Users/june_kim/samsung_audit_nlp/data/raw/감사보고서_2014.htm,2026-03-31T07:17:31.789725+00:00
10,2014,balance_sheet,8. 재고자산,"[""11"", ""5,553,834"", """", ""5,880,463"", """"]",/Users/june_kim/samsung_audit_nlp/data/raw/감사보고서_2014.htm,2026-03-31T07:17:31.789725+00:00
11,2014,balance_sheet,9. 기타유동자산,"["""", ""821,079"", """", ""876,677"", """"]",/Users/june_kim/samsung_audit_nlp/data/raw/감사보고서_2014.htm,2026-03-31T07:17:31.789725+00:00
12,2014,balance_sheet,10. 매각예정분류자산,"[""12, 34"", ""461,683"", """", ""-"", """"]",/Users/june_kim/samsung_audit_nlp/data/raw/감사보고서_2014.htm,2026-03-31T07:17:31.789725+00:00
13,2014,balance_sheet,Ⅱ. 비 유 동 자 산,"["""", """", ""102,005,810"", """", ""94,222,263""]",/Users/june_kim/samsung_audit_nlp/data/raw/감사보고서_2014.htm,2026-03-31T07:17:31.789725+00:00
14,2014,balance_sheet,1. 장기매도가능금융자산,"[""6, 9"", ""7,106,234"", """", ""3,956,952"", """"]",/Users/june_kim/samsung_audit_nlp/data/raw/감사보고서_2014.htm,2026-03-31T07:17:31.789725+00:00
15,2014,balance_sheet,"2. 종속기업, 관계기업 및 공동기업 투자","[""12"", ""41,857,431"", """", ""42,258,049"", """"]",/Users/june_kim/samsung_audit_nlp/data/raw/감사보고서_2014.htm,2026-03-31T07:17:31.789725+00:00
16,2014,balance_sheet,3. 유형자산,"[""13"", ""43,744,259"", """", ""41,439,372"", """"]",/Users/june_kim/samsung_audit_nlp/data/raw/감사보고서_2014.htm,2026-03-31T07:17:31.789725+00:00
17,2014,balance_sheet,4. 무형자산,"[""14"", ""3,051,564"", """", ""2,495,302"", """"]",/Users/june_kim/samsung_audit_nlp/data/raw/감사보고서_2014.htm,2026-03-31T07:17:31.789725+00:00
